agent_id,role,ward,position,alt
492,PATIENT,2,12,T
206,PATIENT,6,14,T
10,PATIENT,0,14,T
606,PATIENT,6,14,T
870,HCW,0,14,T
6,PATIENT,6,14,T
530,PATIENT,0,14,T
410,PATIENT,0,14,T
30,PATIENT,0,222,T
228,PATIENT,8,289,T
683,PATIENT,3,357,T
664,PATIENT,4,403,T
750,HCW,0,417,T
530,PATIENT,0,431,T
185,PATIENT,5,446,T
385,PATIENT,5,446,T
945,HCW,5,446,T
49,PATIENT,9,610,T
410,PATIENT,0,613,T
956,HCW,6,666,T
787,HCW,7,668,T
88,PATIENT,8,669,T
67,PATIENT,7,703,T
400,PATIENT,0,711,T
40,PATIENT,0,732,T
530,PATIENT,0,740,T
974,HCW,4,755,T
784,HCW,4,755,T
43,PATIENT,3,758,T
925,HCW,5,781,T
505,PATIENT,5,781,T
812,HCW,2,797,T
399,PATIENT,9,836,T
989,HCW,9,836,T
979,HCW,9,836,T
824,HCW,4,836,T
421,PATIENT,1,862,T
922,HCW,2,896,T
756,HCW,6,902,T
784,HCW,4,946,T
612,PATIENT,2,982,T
12,PATIENT,2,982,T
762,HCW,2,982,T
142,PATIENT,2,982,T
742,HCW,2,982,T
544,PATIENT,4,1017,T
985,HCW,5,1027,T
447,PATIENT,7,1218,T
56,PATIENT,6,1256,T
617,PATIENT,7,1260,T
4,PATIENT,4,1296,T
394,PATIENT,4,1329,T
898,HCW,8,1363,T
794,HCW,4,1421,T
174,PATIENT,4,1456,T
695,PATIENT,5,1469,T
24,PATIENT,4,1470,T
282,PATIENT,2,1481,T
33,PATIENT,3,1485,T
433,PATIENT,3,1485,T
963,HCW,3,1485,T
673,PATIENT,3,1485,T
353,PATIENT,3,1485,T
73,PATIENT,3,1485,T
303,PATIENT,3,1485,T
533,PATIENT,3,1485,T
703,HCW,3,1485,T
942,HCW,2,1485,T
152,PATIENT,2,1545,T
453,PATIENT,3,1642,T
53,PATIENT,3,1642,T
653,PATIENT,3,1642,T
253,PATIENT,3,1642,T
983,HCW,3,1642,T
348,PATIENT,8,1656,T
731,HCW,1,1718,T
934,HCW,4,1791,T
730,HCW,0,1791,T
100,PATIENT,0,1791,T
300,PATIENT,0,1791,T
820,HCW,0,1791,T
345,PATIENT,5,1870,T
445,PATIENT,5,2028,T
240,PATIENT,0,2101,T
535,PATIENT,5,2140,T
980,HCW,0,2153,T
130,PATIENT,0,2153,T
430,PATIENT,0,2210,T
51,PATIENT,1,2230,T
409,PATIENT,9,2364,T
443,PATIENT,3,2436,T
325,PATIENT,5,2439,T
37,PATIENT,7,2455,T
637,PATIENT,7,2455,T
137,PATIENT,7,2455,T
847,HCW,7,2455,T
727,HCW,7,2455,T
537,PATIENT,7,2455,T
717,HCW,7,2455,T
551,PATIENT,1,2498,T
268,PATIENT,8,2507,T
373,PATIENT,3,2520,T
381,PATIENT,1,2590,T
181,PATIENT,1,2590,T
581,PATIENT,1,2590,T
761,HCW,1,2590,T
611,PATIENT,1,2590,T
434,PATIENT,4,2590,T
814,HCW,4,2590,T
264,PATIENT,4,2590,T
744,HCW,4,2590,T
64,PATIENT,4,2590,T
634,PATIENT,4,2590,T
736,HCW,6,2590,T
464,PATIENT,4,2590,T
664,PATIENT,4,2590,T
804,HCW,4,2590,T
924,HCW,4,2590,T
984,HCW,4,2590,T
934,HCW,4,2590,T
730,HCW,0,2590,T
374,PATIENT,4,2590,T
100,PATIENT,0,2590,T
300,PATIENT,0,2590,T
820,HCW,0,2590,T
819,HCW,9,2596,T
649,PATIENT,9,2615,T
731,HCW,1,2655,T
701,HCW,1,2704,T
279,PATIENT,9,2704,T
159,PATIENT,9,2704,T
359,PATIENT,9,2704,T
9,PATIENT,9,2704,T
209,PATIENT,9,2704,T
479,PATIENT,9,2704,T
529,PATIENT,9,2704,T
719,HCW,9,2704,T
79,PATIENT,9,2704,T
449,PATIENT,9,2704,T
609,PATIENT,9,2704,T
679,PATIENT,9,2704,T
19,PATIENT,9,2704,T
129,PATIENT,9,2704,T
409,PATIENT,9,2704,T
559,PATIENT,9,2704,T
289,PATIENT,9,2704,T
339,PATIENT,9,2704,T
829,HCW,9,2704,T
89,PATIENT,9,2704,T
219,PATIENT,9,2704,T
709,HCW,9,2704,T
399,PATIENT,9,2704,T
739,HCW,9,2704,T
319,PATIENT,9,2704,T
619,PATIENT,9,2704,T
839,HCW,9,2704,T
989,HCW,9,2704,T
49,PATIENT,9,2704,T
139,PATIENT,9,2704,T
845,HCW,5,2704,T
859,HCW,9,2704,T
119,PATIENT,9,2704,T
249,PATIENT,9,2704,T
979,HCW,9,2704,T
349,PATIENT,9,2704,T
369,PATIENT,9,2704,T
649,PATIENT,9,2704,T
909,HCW,9,2704,T
149,PATIENT,9,2704,T
419,PATIENT,9,2704,T
569,PATIENT,9,2704,T
258,PATIENT,8,2704,T
922,HCW,2,2704,T
889,HCW,9,2704,T
369,PATIENT,9,2735,T
697,PATIENT,7,2747,T
731,HCW,1,2796,T
36,PATIENT,6,2796,T
569,PATIENT,9,2798,T
945,HCW,5,2798,T
213,PATIENT,3,2970,T
472,PATIENT,2,2993,T
402,PATIENT,2,2993,T
932,HCW,2,2993,T
202,PATIENT,2,2993,T
858,HCW,8,3024,T
663,PATIENT,3,3105,T
823,HCW,3,3105,T
313,PATIENT,3,3105,T
393,PATIENT,3,3105,T
513,PATIENT,3,3105,T
113,PATIENT,3,3105,T
593,PATIENT,3,3105,T
966,HCW,6,3105,T
243,PATIENT,3,3105,T
753,HCW,3,3105,T
813,HCW,3,3105,T
903,HCW,3,3105,T
33,PATIENT,3,3105,T
433,PATIENT,3,3105,T
463,PATIENT,3,3105,T
63,PATIENT,3,3105,T
193,PATIENT,3,3105,T
643,PATIENT,3,3105,T
706,HCW,6,3105,T
723,HCW,3,3105,T
963,HCW,3,3105,T
443,PATIENT,3,3105,T
453,PATIENT,3,3105,T
673,PATIENT,3,3105,T
53,PATIENT,3,3105,T
93,PATIENT,3,3105,T
213,PATIENT,3,3105,T
353,PATIENT,3,3105,T
883,HCW,3,3105,T
73,PATIENT,3,3105,T
283,PATIENT,3,3105,T
373,PATIENT,3,3105,T
473,PATIENT,3,3105,T
653,PATIENT,3,3105,T
253,PATIENT,3,3105,T
293,PATIENT,3,3105,T
303,PATIENT,3,3105,T
533,PATIENT,3,3105,T
543,PATIENT,3,3105,T
803,HCW,3,3105,T
833,HCW,3,3105,T
43,PATIENT,3,3105,T
488,PATIENT,8,3105,T
613,PATIENT,3,3105,T
13,PATIENT,3,3105,T
83,PATIENT,3,3105,T
90,PATIENT,0,3105,T
143,PATIENT,3,3105,T
660,PATIENT,0,3105,T
908,HCW,8,3105,T
816,HCW,6,3105,T
76,PATIENT,6,3105,T
116,PATIENT,6,3105,T
573,PATIENT,3,3105,T
873,HCW,3,3105,T
343,PATIENT,3,3105,T
466,PATIENT,6,3105,T
516,PATIENT,6,3105,T
958,HCW,8,3105,T
206,PATIENT,6,3105,T
923,HCW,3,3105,T
10,PATIENT,0,3105,T
260,PATIENT,0,3105,T
556,PATIENT,6,3105,T
606,PATIENT,6,3105,T
896,HCW,6,3105,T
956,HCW,6,3105,T
970,HCW,0,3105,T
983,HCW,3,3105,T
993,HCW,3,3105,T
590,PATIENT,0,3105,T
666,PATIENT,6,3105,T
703,HCW,3,3105,T
870,HCW,0,3105,T
